Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%
13.0,Atlanta Hawks,26.2,15.0,18.0,17,16,0.42,-0.1,0.33,113.3,112.8,0.5,97.2,0.23399999999999999,0.368,0.565,0.529,11.4
11.0,Boston Celtics,26.0,16.0,18.0,18,16,0.91,0.55,1.46,109.3,108.4,0.9,97.3,0.24600000000000002,0.414,0.5529999999999999,0.513,12.5
6.0,Brooklyn Nets,30.1,23.0,9.0,20,12,3.91,-1.15,2.76,110.7,106.8,3.9,99.5,0.24100000000000002,0.375,0.5720000000000001,0.535,12.8
21.0,Charlotte Hornets,25.8,18.0,17.0,16,19,-1.17,0.45,-0.72,113.3,114.5,-1.2,100.4,0.222,0.408,0.5660000000000001,0.537,11.3
8.0,Chicago Bulls,26.4,21.0,10.0,19,12,3.52,-0.54,2.98,112.0,108.5,3.5,98.3,0.235,0.345,0.573,0.537,12.0
4.0,Cleveland Cavaliers,24.8,20.0,14.0,24,10,6.26,0.46,6.72,110.5,104.0,6.5,97.6,0.231,0.413,0.569,0.535,14.1
15.0,Dallas Mavericks,26.9,16.0,17.0,17,16,0.15,0.42,0.57,109.3,109.2,0.1,96.0,0.231,0.434,0.5489999999999999,0.517,11.2
17.0,Denver Nuggets,27.6,17.0,16.0,16,17,-0.24,0.88,0.64,108.8,109.0,-0.2,96.9,0.201,0.42200000000000004,0.56,0.5329999999999999,12.6
30.0,Detroit Pistons,23.5,5.0,27.0,7,25,-9.81,0.16,-9.66,101.4,111.2,-9.8,99.0,0.253,0.408,0.519,0.47700000000000004,13.7
2.0,Golden State Warriors,28.3,27.0,7.0,27,7,10.0,-0.59,9.41,112.2,102.1,10.1,98.5,0.24,0.47200000000000003,0.585,0.557,14.5
28.0,Houston Rockets,25.1,10.0,25.0,10,25,-7.8,-0.41,-8.21,106.4,114.2,-7.8,100.2,0.28600000000000003,0.445,0.5589999999999999,0.529,15.3
12.0,Indiana Pacers,27.1,14.0,20.0,18,16,0.65,0.02,0.67,110.5,109.8,0.7,96.7,0.218,0.396,0.555,0.523,12.5
14.0,Los Angeles Clippers,27.7,17.0,17.0,17,17,0.18,-0.13,0.05,106.4,106.2,0.2,98.8,0.214,0.401,0.552,0.521,13.4
22.0,Los Angeles Lakers,31.2,17.0,18.0,15,20,-2.0,-0.83,-2.83,106.9,108.9,-2.0,101.0,0.247,0.377,0.557,0.528,13.8
9.0,Memphis Grizzlies,24.1,21.0,14.0,20,15,2.51,-0.1,2.41,111.7,109.2,2.5,98.9,0.22699999999999998,0.36700000000000005,0.547,0.515,11.8
5.0,Miami Heat,28.4,22.0,13.0,22,13,4.0,-0.54,3.46,111.8,107.6,4.2,95.5,0.23199999999999998,0.42,0.5710000000000001,0.5379999999999999,13.4
7.0,Milwaukee Bucks,28.3,23.0,13.0,22,14,3.78,-1.0,2.78,111.6,107.8,3.8,98.8,0.23199999999999998,0.44,0.564,0.534,12.5
19.0,Minnesota Timberwolves,24.2,16.0,18.0,16,18,-0.62,0.48,-0.14,108.1,108.7,-0.6,99.1,0.223,0.456,0.539,0.507,13.2
26.0,New Orleans Pelicans,25.7,13.0,22.0,13,22,-4.4,-0.12,-4.52,107.8,112.3,-4.5,96.9,0.23399999999999999,0.37,0.5379999999999999,0.5,13.2
20.0,New York Knicks,26.8,16.0,18.0,16,18,-0.5,-0.34,-0.84,109.7,110.3,-0.6,95.8,0.24,0.431,0.55,0.515,12.3
27.0,Oklahoma City Thunder,22.7,12.0,21.0,9,24,-7.52,-0.33,-7.85,101.9,109.6,-7.7,98.6,0.23,0.42100000000000004,0.514,0.48,12.2
29.0,Orlando Magic,23.5,7.0,28.0,8,27,-9.57,0.77,-8.81,103.1,112.8,-9.7,98.2,0.222,0.423,0.528,0.493,13.5
16.0,Philadelphia 76ers,26.6,18.0,16.0,17,17,-0.09,0.27,0.18,110.0,110.1,-0.1,95.5,0.252,0.373,0.564,0.523,11.6
3.0,Phoenix Suns,27.8,26.0,7.0,24,9,7.06,-0.15,6.91,111.3,104.3,7.0,100.0,0.218,0.355,0.573,0.542,12.5
24.0,Portland Trail Blazers,27.6,13.0,20.0,13,20,-3.27,1.15,-2.12,110.2,113.6,-3.4,98.0,0.249,0.435,0.564,0.527,12.8
25.0,Sacramento Kings,25.7,14.0,21.0,13,22,-4.17,0.64,-3.54,108.9,113.0,-4.1,100.3,0.252,0.386,0.551,0.516,12.6
10.0,San Antonio Spurs,25.1,14.0,19.0,18,15,1.73,-0.24,1.49,110.9,109.2,1.7,100.3,0.195,0.322,0.552,0.529,11.2
18.0,Toronto Raptors,24.5,14.0,17.0,15,16,-0.52,0.68,0.16,110.2,110.7,-0.5,96.1,0.209,0.375,0.534,0.503,11.3
1.0,Utah Jazz,29.9,24.0,9.0,26,7,10.15,-0.93,9.23,117.1,106.8,10.3,98.9,0.263,0.483,0.597,0.565,13.1
23.0,Washington Wizards,26.2,17.0,17.0,14,20,-2.94,0.71,-2.23,108.7,111.7,-3.0,96.4,0.25,0.36200000000000004,0.557,0.523,12.4
